date,total,china,usa,vietnam,hongkong,japan,korea_index,oecd_index,ex_rate,oil
2011-02-01,38467411994,9577541711,3812273860,761839808,2085626661,2701368512,100.82,101.7277,1118.14,89.74
2011-03-01,48052991328,11518731476,4643161735,1128867092,2566588464,3257020652,100.7116,101.6411,1122.45,102.98
2011-04-01,48536725405,10807465994,5094082851,1182297719,2611215292,3575084786,100.5202,101.4831,1086.84,110.04
2011-05-01,47331328872,11294812145,5171509689,1085870458,2759156235,3058715128,100.257,101.2602,1083.54,101.36
2011-06-01,46736892626,11126425492,4969268572,1039279686,2312012166,3402468503,99.94603,100.9792,1081.27,96.29
2011-07-01,48950113013,11829362508,4650593591,1012044849,2864386328,3407616401,99.6171,100.6621,1059.5,97.34
2011-08-01,45792060934,11615643560,4322256349,1167195552,2853164440,3425151059,99.2809,100.3365,1073.17,86.34
2011-09-01,46510964789,11664543504,4794608984,1306856539,2344299427,3414076198,98.96361,100.0371,1118.61,85.61
2011-10-01,46613479836,11842269115,4604884789,1226446881,3070063782,3291812320,98.68826,99.78564,1155.45,86.43
2011-11-01,46012595310,11194390060,5401548478,1264671906,2667430107,3488538645,98.48588,99.59168,1132.31,97.16
2011-12-01,47743725397,11684611820,4600334466,1317295005,2466363303,3719723337,98.39458,99.44791,1147.45,98.58
2012-01-01,41200357940,9793924454,4123411437,1061188915,2540872940,3270842174,98.41517,99.33958,1145.85,100.32
2012-02-01,46316183638,10500481337,5619301450,1259403126,2775074973,3503411607,98.5134,99.2541,1123.35,102.26
2012-03-01,47329816570,11043089650,5934643568,1251894087,2978444630,3329166847,98.63474,99.16016,1125.9,106.2
2012-04-01,46094754124,10463536254,5307363135,1237804270,2684699609,2751439767,98.74871,99.0414,1135.55,103.35
2012-05-01,46872357095,10716030491,4726885740,1286975266,3024354148,3093617482,98.82944,98.90815,1154.27,94.72
2012-06-01,47162604994,10828777757,4977490336,1369072255,2539827120,3402562013,98.87364,98.77216,1165.51,82.41
2012-07-01,44667681428,11247341363,4692004268,1351975837,2226851858,3337717682,98.88718,98.64774,1143.36,87.93
2012-08-01,43045181248,11061860561,4221897982,1380809715,2487766109,3179793894,98.89918,98.54275,1131.69,94.16
2012-09-01,45412538010,11783075626,4813841920,1340309229,3038832724,2967153292,98.92717,98.46516,1124.78,94.56
2012-10-01,47087760006,12461125903,4438501425,1378261202,2893857628,3291482280,98.9673,98.42512,1106.93,89.57
2012-11-01,47805245779,12429057074,5113742215,1529012572,2814775645,3622014649,99.02192,98.4341,1087.52,86.73
2012-12-01,44875311309,11994263599,4555475076,1499268932,2600831372,3046855254,99.10006,98.49008,1076.97,88.25
2013-01-01,45673108992,11425208289,4960891720,1489705029,2213281582,3518915044,99.19386,98.59083,1065.35,94.83
2013-02-01,42331836668,10387585991,5002517619,1445586525,1909950723,2900960556,99.31439,98.71978,1086.68,95.32
2013-03-01,47312703650,11685542722,4978892498,1827242882,2564802898,2703276679,99.4672,98.85876,1102.2,92.96
2013-04-01,46157925207,12136960810,5347295434,1741362024,2163472777,2430303577,99.6165,99.00243,1121.83,92.07
2013-05-01,48307560429,12481015335,5744405046,1862563085,2380306187,2732790263,99.73177,99.15894,1110.67,94.8
2013-06-01,46690983225,11398722435,5292652127,1674987626,2240549143,2824465569,99.7937,99.32923,1135.21,95.8
2013-07-01,45829520579,12882114281,5153830762,1685025064,2255632111,2839173120,99.79815,99.51009,1127.23,104.7
2013-08-01,46311340570,12474089434,4973462842,1761322233,2333563288,2762424162,99.77014,99.69666,1116.98,106.54
2013-09-01,44650485857,11939788435,4733798906,1833513914,2587170376,2916580851,99.72085,99.87234,1087.35,106.23
2013-10-01,50480484208,13152509513,5465244249,2218187920,2520634323,2987576992,99.67678,100.0195,1066.8,100.55
2013-11-01,47905028162,12920192700,5247925002,1733503264,2321123569,3381553819,99.64987,100.1392,1062.82,93.93
2013-12-01,47981456248,12985768328,5151571399,1814582064,2265821348,2664269482,99.64173,100.2373,1056.67,97.89
2014-01-01,45559632455,11482347663,4856161763,1733302937,1936612945,2810869830,99.63977,100.3241,1064.75,94.86
2014-02-01,42911734549,10757677300,4664001383,1732673534,1976298786,2607399996,99.62702,100.3955,1071.3,100.68
2014-03-01,49064391958,12186981771,5814181509,2095882609,2278012933,2783089468,99.59857,100.4468,1070.89,100.51
2014-04-01,50267447896,12410094981,6376333605,1815755823,2267187304,2717013724,99.55708,100.4628,1044.55,102.03
2014-05-01,47577182544,11305150046,6058690822,1693661598,2288314203,2705134747,99.51596,100.4374,1024.99,101.79
2014-06-01,47827709150,11278077647,6086843865,1706981559,2425874004,2563081096,99.49968,100.3792,1019.36,105.15
2014-07-01,48204545437,11960508236,6102797915,1802428926,2190757142,2992685837,99.53251,100.3055,1019.93,102.39
2014-08-01,46108369810,11984392777,5318312342,1698774582,2280062413,2520905828,99.6244,100.2348,1025.36,96.08
2014-09-01,47446217249,12700145881,5664961041,1886505548,2298876025,2702707335,99.76692,100.1869,1033.24,93.03
2014-10-01,51630656639,13586043899,6798528015,2138138208,2394180476,2888627157,99.94692,100.1692,1060.28,84.34
2014-11-01,46605342145,12471043145,6304664359,1943242632,2500868662,2499017437,100.1436,100.1836,1095.1,75.81
2014-12-01,49461377231,13165237867,6239395215,2104342475,2419357232,2393255279,100.3161,100.2313,1104.33,59.29
2015-01-01,45105389265,12083947251,5561545397,2163835578,2170483312,2251306583,100.4331,100.3076,1088.86,47.33
2015-02-01,41472190637,9927641709,5021263686,1967141454,1810259426,2000724388,100.4995,100.3911,1098.4,50.72
2015-03-01,46822771337,11868032003,6795063949,2443344217,2545223968,2127216181,100.5256,100.4638,1112.57,47.85
2015-04-01,46221931023,11765636558,6204676220,2461287388,2650179906,2380418820,100.5202,100.505,1088.66,54.63
2015-05-01,42327311014,10927132581,5623941107,2244149446,2559831406,2331637206,100.4931,100.5071,1091.27,59.37
2015-06-01,46554511646,11348693390,6503943777,2431976418,2491014663,2230059347,100.4604,100.4838,1112.2,59.83
2015-07-01,45695746774,11180020902,6184651985,2633166079,2630865243,2126238228,100.4527,100.457,1143.22,50.93
2015-08-01,39107399172,10883915001,5059167395,2245105335,2487845003,1870364846,100.4671,100.4348,1179.1,42.89
2015-09-01,43432312357,12045381267,5464307094,2391607104,2739692229,2037366882,100.499,100.4226,1184.76,45.47
2015-10-01,43352045560,12493015151,6011443155,2403076655,2607539279,2138398052,100.5246,100.4169,1148.18,46.29
2015-11-01,44285051775,11610771237,5519654833,2179078681,2839574119,2022536098,100.5275,100.4001,1151.97,42.92
2015-12-01,42379842806,10989746843,5882444203,2206982022,2885669933,2060240639,100.503,100.358,1172.24,37.33
2016-01-01,36260420221,9480539843,5040734289,1984725205,2113289285,1792002099,100.4694,100.2909,1201.67,31.78
2016-02-01,35924540736,8641814638,5222510363,2318556319,2170208859,1696096821,100.453,100.2118,1217.35,30.62
2016-03-01,43002467958,10420521589,6544965121,2783409035,2328129379,2050548563,100.4678,100.1458,1188.21,37.96
2016-04-01,41081552585,9613431316,5823758110,2770462931,2431256512,1776555240,100.5125,100.0966,1147.51,41.12
2016-05-01,39733793730,9928386074,5669349924,2647731803,2657286566,2041330727,100.5867,100.0627,1171.51,46.8
2016-06-01,45209071390,10182598463,6053158794,2668363452,3031084615,2150804229,100.6942,100.0465,1170.5,48.85
2016-07-01,40881700213,10133979815,5290588215,2817810509,2774938756,2067444554,100.8331,100.0534,1144.09,44.8
2016-08-01,40124791131,10304261781,4818513003,2750599586,3230570357,2010573951,100.9912,100.0976,1111.68,44.8
2016-09-01,40846251917,10953271210,5132437801,2796647436,2865856800,2168024802,101.1432,100.1834,1107.49,45.23
2016-10-01,41983329283,11088002164,5401982445,2886439219,2961774667,2103254471,101.2736,100.2922,1125.28,49.94
2016-11-01,45309140839,11632780853,5723085819,3015087934,2954781070,2275226906,101.3959,100.412,1161.64,45.76
2016-12-01,45068879634,12053353493,5741228102,3190623874,3263272175,2223174096,101.5182,100.5391,1182.28,52.17
2017-01-01,40256999916,10754709285,4940100924,2791265431,2721286087,2130047971,101.6351,100.6658,1185.1,52.61
2017-02-01,43166536042,11118131308,5312452585,3181296752,2854472744,2044853150,101.7319,100.7942,1144.92,53.46
2017-03-01,48637831863,11655510517,6200928199,4330456598,3223394812,2395932082,101.7929,100.9188,1134.77,49.67
2017-04-01,50843799013,10589663918,6035663101,4517085112,2828098062,2108329954,101.8124,101.0354,1132.73,51.12
2017-05-01,44926979168,10652551536,5523901512,4153353121,2873922510,2182625743,101.7898,101.1475,1125.28,48.54
2017-06-01,51272451919,10675442357,5980992263,4318913195,3198026020,2350968919,101.7374,101.2601,1130.04,45.2
2017-07-01,48830439652,10791084082,5660933992,3636567276,2903504016,2162170436,101.6541,101.3738,1134.4,46.67
2017-08-01,47105568514,11912498857,5952843871,3754935066,3287457730,2107245781,101.5398,101.4816,1130.79,48.06
2017-09-01,55115239696,13540682915,6597924202,4734487418,3828534234,2516087938,101.3941,101.5742,1131.59,49.88
2017-10-01,44791238727,12580473717,4726842191,3864652296,3657235729,1847998975,101.2163,101.6336,1131.57,51.59
2017-11-01,49707196884,14000887074,6381591389,4411512124,3751698650,2520013186,101,101.6552,1105.04,56.66
2017-12-01,49040139428,13848364137,5295553358,4059314859,3984650207,2449866992,100.7588,101.6381,1085.78,57.95
2018-01-01,49221290908,13381305014,5159690617,4277334440,3429413331,2583914212,100.5336,101.58,1066.7,63.66
2018-02-01,44523529594,11522664092,4682547672,3627831822,3032519739,2446179743,100.3399,101.4773,1079.58,62.18
2018-03-01,51309931550,13576667103,6078616405,4196644652,4122520611,2603449960,100.1738,101.3321,1071.89,62.77
2018-04-01,49850235277,13034964359,5942113553,3724493793,3838410014,2482756392,100.0423,101.1488,1067.76,66.33
2018-05-01,50687749864,13851899898,6153032588,3781174443,4237216652,2513782252,99.93397,100.9307,1076.39,69.98
2018-06-01,51079375327,13814240920,6421517754,3934797470,4363034750,2578912716,99.83429,100.6774,1092.8,67.32
2018-07-01,51810254527,13721233127,6151681428,3915009646,4150645518,2542258168,99.75079,100.3962,1122.8,70.58
2018-08-01,51180449254,14401521303,6048101982,4353160159,4076287662,2409639571,99.67902,100.1063,1121.15,67.85
2018-09-01,50650208140,14590529300,5821080858,3946877918,4903221049,2469036724,99.6045,99.84256,1120.6,70.08
2018-10-01,54860309595,14767040501,6980163813,4248685490,3869674845,2764707751,99.52021,99.63489,1130.81,70.76
2018-11-01,51479529532,13558761072,6840970688,4520135567,3104349754,2707330806,99.433,99.48946,1128.58,56.69
2018-12-01,48206793082,11904228702,6440414832,4095952159,2869147063,2426612069,99.34869,99.38457,1122.9,48.98
2019-01-01,46168934249,10836336432,6209466480,4025559711,2217703931,2617332541,99.26302,99.31412,1122,51.55
2019-02-01,39481803311,9532194006,5442457412,3576740231,2311680172,2296310001,99.17184,99.26993,1122.45,54.98
2019-03-01,47003206185,11442780896,6319152288,4065313919,3266774709,2261652259,99.06383,99.23051,1130.72,58.17
2019-04-01,48781156049,12429813199,6158443400,4197071755,2591788494,2277192076,98.93917,99.17575,1140.95,63.87
2019-05-01,45703948228,11014512679,6500300797,3648722440,2944595164,2533489284,98.82048,99.09859,1183.29,60.87
2019-06-01,44008404018,10422956041,6249176071,3589371927,2871892240,2255618857,98.72498,99.00823,1175.62,54.71
2019-07-01,46078221134,11444066676,6113229620,4220824208,2761539257,2545211759,98.64983,98.92618,1175.31,57.55
2019-08-01,44020065156,11287793374,5619802922,4484556281,2578175500,2243164653,98.61156,98.87161,1208.98,54.84
2019-09-01,44629052707,11362385855,5690676178,4229158129,2825991654,2310566270,98.61821,98.8456,1197.55,56.97
2019-10-01,46648756033,12243753683,6357758160,4209044967,2478883744,2372581195,98.67698,98.84699,1184.13,54.01
2019-11-01,44040721772,11888954728,6265034318,4052033453,2454636357,2410613103,98.76867,98.86151,1167.45,57.07
2019-12-01,45668341127,12296985639,6418400063,3879351714,2609214538,2296481406,98.85627,98.87062,1175.84,59.8
2020-01-01,43103060857,9642031236,5740347386,4081500059,2193755203,2434952964,98.90381,98.86423,1164.28,57.53
2020-02-01,40911818805,8824933471,5931571874,3931516792,2546965586,2265044812,98.9113,98.83873,1193.79,50.54
2020-03-01,46167203855,10643503407,7281215108,3998333951,3172786959,2485052839,98.90107,95.88287,1220.09,30.45
2020-04-01,36270182837,10151494828,5277225836,2713976274,2379361597,1984660364,98.9196,88.69578,1225.23,16.7
2020-05-01,34854511400,10743735243,4589357750,2917842478,2362302297,1781736895,98.99467,91.79689,1228.67,28.53
2020-06-01,39214070630,11443239696,5735514639,3503966589,2337610130,1849842809,99.16191,96.05669,1210.01,38.31
2020-07-01,42785144050,11726183448,6596978783,4203037693,2034337542,1999257195,99.41719,97.63802,1198.9,40.77
2020-08-01,39469230580,10937537712,5581925095,4107144926,2150968919,1761392723,99.72765,98.13431,1186.85,42.39
2020-09-01,47819947522,12185274325,6997553830,4796012203,3005224076,2156620830,100.0586,98.3217,1178.8,39.63
2020-10-01,44818534427,11527355549,6562208994,4508943206,2731820714,1924047355,100.3767,98.45467,1144.68,39.55
2020-11-01,45751883232,12029854423,6664272439,4506085066,2635980263,2122869801,100.6701,98.63699,1116.76,41.35
2020-12-01,51332449396,12710301396,7157647338,5242213207,3102676601,2332172653,100.9399,98.98676,1095.13,47.07
2021-01-01,48006973697,11787036611,8412354594,4642317898,2441564805,2237046015,101.2069,99.16486,1097.49,52.1
2021-02-01,44706906918,11208799453,6396234633,3907994035,2516268543,2191909157,101.4586,99.5245,1111.72,59.06
2021-03-01,53690914321,13408119054,7970755898,4207078759,3402418498,2415077031,101.68,100.0622,1131.02,62.36
2021-04-01,51225991397,13401058327,7557229358,4334987144,2985366252,2489524820,101.8385,100.431,1119.4,61.7
2021-05-01,50725161248,13246809078,7448015955,4167818891,3093419795,2361626618,101.889,100.7696,1123.28,65.16
2021-06-01,54778904949,13070490087,8717226261,4581970971,3471242070,2597105443,101.8182,101.0163,1121.3,71.35
2021-07-01,55461518159,13586374429,8724015829,4934034094,2872361283,2565013671,101.6371,101.1617,1143.98,72.43
2021-08-01,53165103786,13881327880,7704223847,4850337611,3415828590,2522980082,101.368,101.2144,1160.34,67.71
2021-09-01,55913862375,14291980345,7983934107,5101701490,3852088155,2541017857,101.0363,101.1949,1169.54,71.54
2021-10-01,55660372637,14415867215,8066782602,4904971459,2739662629,2614683864,100.6901,101.1177,1182.82,81.22
2021-11-01,60330542263,15272549044,8133640339,5478296945,3232583381,2813250497,100.3722,100.9916,1182.91,78.65
2021-12-01,60734116670,15342562681,8787542044,5617022808,3444272573,2712571429,100.0897,100.8288,1183.7,71.69
